47935088;0;CURR;OPT;SMP;286270049;BBVA MEXICO S A INSTITUCION DE BANCA MULTIPLE GRUP;COFXOPINS;20221209;B;C;E;C;0.00;USD;12/05/2022;10/05/2022;USD/COP;COP;4815.990000000;5041.035797760;236;02/08/2023;LIN ACT/360;LIN ACT/360;19.5810;20.3073;4085.00000000;USD;0.000000;0.00000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;-4.471635;11522.707746;11518.236111;11518.236111062914;0.00000;18027.43022;956.74300;0.00000;2282.38292;1.00000000;1.00000000;55471709.92851788;8170000000.00;COP;2000000.00;USD;1.046728875;0.00;4.600400000;12.069800000;55471709.928214;
47935092;0;CURR;OPT;SMP;286270049;BBVA MEXICO S A INSTITUCION DE BANCA MULTIPLE GRUP;COFXOPINS;20221209;B;C;E;C;0.00;USD;16/05/2022;12/05/2022;USD/COP;COP;4815.990000000;5054.965215100;250;16/08/2023;LIN ACT/360;LIN ACT/360;19.4727;20.2949;4123.00000000;USD;0.000000;0.00000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;-3.999143;10305.167731;10301.168588;10301.168588298167;0.00000;14510.76668;860.73011;0.00000;1935.37337;1.00000000;1.00000000;49610324.90955808;6184500000.00;COP;1500000.00;USD;1.049621202;0.00;4.606800000;12.100400000;49610324.908122;
47935096;0;CURR;OPT;SMP;286270049;BBVA MEXICO S A INSTITUCION DE BANCA MULTIPLE GRUP;COFXOPGIN;20221209;B;C;E;C;0.00;USD;31/05/2022;26/05/2022;USD/COP;COP;4815.990000000;4847.906278750;40;18/01/2023;LIN ACT/360;LIN ACT/360;19.7552;20.7500;3900.00000000;USD;0.000000;0.00000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;-0.000127;0.327809;0.327682;0.327682107444;0.00000;10.53894;0.01993;0.00000;0.22816;1.00000000;1.00000000;1578.11375262;195000000.00;COP;50000.00;USD;1.006627148;0.00;4.383000000;11.054100000;1578.113235;
47935099;0;CURR;OPT;SMP;286270049;BBVA MEXICO S A INSTITUCION DE BANCA MULTIPLE GRUP;COFXOPINS;20221209;B;C;E;C;0.00;USD;09/05/2022;05/05/2022;USD/COP;COP;4815.990000000;5014.278209630;209;06/07/2023;LIN ACT/360;LIN ACT/360;19.7946;20.3361;4103.15000000;USD;0.000000;0.00000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;-2.116726;5454.473427;5452.356701;5452.356700687653;0.00000;9476.20860;428.23082;0.00000;1074.07307;1.00000000;1.00000000;26258495.34694472;4103150000.00;COP;1000000.00;USD;1.041172886;0.00;4.589400000;12.015500000;26258495.348448;
47935105;0;CURR;OPT;SMP;5AVHBOG;COMPAÑIA DE SEGUROS BOLIVAR S.A.;COFXOPINS;20221209;B;P;E;C;0.00;COP;09/05/2022;09/05/2022;USD/COP;COP;4815.990000000;5033.092941820;228;25/07/2023;LIN ACT/360;LIN ACT/360;19.8567;20.3152;4850.00000000;USD;0.000000;0.00000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;-123.018176;316998.678564;316875.660388;316875.660387722310;0.00000;107553.39531;-14309.26988;0.00000;11765.47757;1.00000000;1.00000000;1526070011.67066676;19400000000.00;COP;4000000.00;USD;1.045079608;0.00;4.596800000;12.052400000;1526070011.672004;
47935115;0;CURR;OPT;SMP;COX024380;ZEMOGA;COFXOPGIN;20221209;B;P;E;C;0.00;COP;03/05/2022;03/05/2022;USD/COP;COP;4815.990000000;4823.075943510;12;21/12/2022;LIN ACT/360;LIN ACT/360;18.3173;17.5923;4461.62000000;USD;0.000000;0.00000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;-1.460364;3763.131302;3761.670938;3761.670937715955;0.00000;359.76018;-14.13456;0.00000;2.16653;1.00000000;1.00000000;18116169.61933066;223081000.00;COP;50000.00;USD;1.001471336;0.00;4.220400000;10.727900000;18116169.620698;
47935121;0;CURR;OPT;SMP;286270049;BBVA MEXICO S A INSTITUCION DE BANCA MULTIPLE GRUP;COFXOPINS;20221209;B;C;E;C;0.00;USD;09/05/2022;05/05/2022;USD/COP;COP;4815.990000000;5014.278209630;209;06/07/2023;LIN ACT/360;LIN ACT/360;19.7946;20.3361;4103.15000000;USD;0.000000;0.00000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;-8.466904;21817.893707;21809.426803;21809.426802750611;0.00000;37904.83441;1712.92327;0.00000;4296.29228;1.00000000;1.00000000;105033981.38777891;16412600000.00;COP;4000000.00;USD;1.041172886;0.00;4.589400000;12.015500000;105033981.388979;
47935026;0;CURR;OPT;SMP;COX024380;ZEMOGA;COFXOPGIN;20221209;B;P;E;C;0.00;COP;21/06/2022;21/06/2022;USD/COP;COP;4815.990000000;4901.288562530;96;15/03/2023;LIN ACT/360;LIN ACT/360;19.5293;20.3750;4424.93000000;USD;0.000000;0.00000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;-4.032378;10390.811217;10386.778838;10386.778838296943;0.00000;2187.82962;-220.18663;0.00000;113.21784;1.00000000;1.00000000;50022623.01744969;442493000.00;COP;100000.00;USD;1.017711532;0.00;4.395400000;11.412100000;50022623.016019;
47935030;0;CURR;OPT;SMP;COX024380;ZEMOGA;COFXOPGIN;20221209;B;P;E;C;0.00;COP;21/06/2022;21/06/2022;USD/COP;COP;4815.990000000;4935.604627610;131;19/04/2023;LIN ACT/360;LIN ACT/360;19.6389;20.3750;4478.32000000;USD;0.000000;0.00000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;-4.040259;10411.117006;10407.076747;10407.076747333254;0.00000;2164.88027;-284.95343;0.00000;155.84581;1.00000000;1.00000000;50120377.54438947;447832000.00;COP;100000.00;USD;1.024836975;0.00;4.468800000;11.628200000;50120377.542784;
47935130;0;CURR;OPT;SMP;286270049;BBVA MEXICO S A INSTITUCION DE BANCA MULTIPLE GRUP;COFXOPINS;20221209;B;C;E;C;0.00;USD;04/05/2022;02/05/2022;USD/COP;COP;4815.990000000;4985.218835740;180;07/06/2023;LIN ACT/360;LIN ACT/360;20.0192;20.3750;4014.00000000;USD;0.000000;0.00000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;-1.264727;3259.004976;3257.740249;3257.740248572336;0.00000;7533.77071;250.85151;0.00000;743.77132;1.00000000;1.00000000;15689244.45972188;4014000000.00;COP;1000000.00;USD;1.035138950;0.00;4.576400000;11.932600000;15689244.461781;
