20221121DEPOB121M    000014180000000000001418000000000000141800000000NPP     20221122054217        
20221121DEPOB121Y    000017971800000000001797180000000000179718000000NPP     20221122054217        
20221121DEPOB122M    000015160700000000001516070000000000151607000000NPP     20221122054217        
20221121DEPOB122W    000013518400000000001351840000000000135184000000NPP     20221122054217        
20221121DEPOB122Y    000017973700000000001797370000000000179737000000NPP     20221122054217        
20221121DEPOB123M    000015955800000000001595580000000000159558000000NPP     20221122054217        
20221121DEPOB123Y    000017999500000000001799950000000000179995000000NPP     20221122054217        
20221121DEPOB124Y    000018055800000000001805580000000000180558000000NPP     20221122054217        
20221121DEPOB125Y    000018096600000000001809660000000000180966000000NPP     20221122054217        
20221121DEPOB126M    000017287200000000001728720000000000172872000000NPP     20221122054217        
20221121DEPOB129M    000017804500000000001780450000000000178045000000NPP     20221122054217        
20221121DEPOB12ON    000012907400000000001290740000000000129074000000NPP     20221122054217        
20221121DEPOB12SW    000013198100000000001319810000000000131981000000NPP     20221122054217        
20221121DEPOB12TN    000013006000000000001300600000000000130060000000NPP     20221122054217        
20221121DEPOCOF1M    000010237641250000001023764125000000102376412500NPP     2022112205421720221221
20221121DEPOCOF1Y    000012742628480000001274262848000000127426284800NPP     2022112205421720231121
20221121DEPOCOF2M    000010654558040000001065455804000000106545580400NPP     2022112205421720230119
20221121DEPOCOF2W    000010155946690000001015594669000000101559466900NPP     2022112205421720221205
20221121DEPOCOF3M    000011216346160000001121634616000000112163461600NPP     2022112205421720230221
20221121DEPOCOF6M    000011947665470000001194766547000000119476654700NPP     2022112205421720230518
20221121DEPOCOF9M    000012458458710000001245845871000000124584587100NPP     2022112205421720230818
20221121DEPOCOFON    000010335029300000001033502930000000103350293000NPP     2022112205421720221122
20221121DEPOCOFSW    000010115895250000001011589525000000101158952500NPP     2022112205421720221128
20221121DTFPCOP1Y    000013278809490000001327880949000000132788094900NPP     2022112205421720231123
20221121DTFPCOP3M    000012040978190000001204097819000000120409781900NPP     2022112205421720230223
20221121DTFPCOP6M    000012331280990000001233128099000000123312809900NPP     2022112205421720230523
20221121DTFPCOP9M    000012432840240000001243284024000000124328402400NPP     2022112205421720230823
20221121DTFPCOPON    000011730000000000001173000000000000117300000000NPP     2022112205421720221122
20221121DEPOEUC10M   000002199286440000000219928644000000021992864400NPP     2022112205421720230925
20221121DEPOEUC11M   000002209469720000000220946972000000022094697200NPP     2022112205421720231023
20221121DEPOEUC1D    000013465921460000001346592146000000134659214600NPP     2022112205421720221122
20221121DEPOEUC1M    000001487594830000000148759483000000014875948300NPP     2022112205421720221223
20221121DEPOEUC1Y    000002269162260000000226916226000000022691622600NPP     2022112205421720231124
20221121DEPOEUC2M    000001010136720000000101013672000000010101367200NPP     2022112205421820230123
20221121DEPOEUC2W    000001688866880000000168886688000000016888668800NPP     2022112205421820221207
20221121DEPOEUC3D    000003199128970000000319912897000000031991289700NPP     2022112205421820221125
20221121DEPOEUC3M    000001361723950000000136172395000000013617239500NPP     2022112205421820230223
20221121DEPOEUC3W    000001619150110000000161915011000000016191501100NPP     2022112205421820221214
20221121DEPOEUC4M    000001583510570000000158351057000000015835105700NPP     2022112205421820230323
20221121DEPOEUC5M    000001701626650000000170162665000000017016266500NPP     2022112205421820230424
20221121DEPOEUC6M    000001837071000000000183707100000000018370710000NPP     2022112205421820230523
20221121DEPOEUC7M    000001970264960000000197026496000000019702649600NPP     2022112205421820230623
20221121DEPOEUC8M    000002013145370000000201314537000000020131453700NPP     2022112205421820230724
20221121DEPOEUC9M    000002112970310000000211297031000000021129703100NPP     2022112205421820230823
20221121DEPOEUCSW    000001918597430000000191859743000000019185974300NPP     2022112205421820221130
20221121IMGBGBP10M   000004011216530000000401121653000000040112165300NPP     2022112205421820230925
20221121IMGBGBP11M   000004026962780000000402696278000000040269627800NPP     2022112205421820231023
20221121IMGBGBP1M    000003090348440000000309034844000000030903484400NPP     2022112205421820221223
20221121IMGBGBP1Y    000004067338400000000406733840000000040673384000NPP     2022112205421820231124
20221121IMGBGBP2M    000002834026140000000283402614000000028340261400NPP     2022112205421820230123
20221121IMGBGBP2W    000003085821330000000308582133000000030858213300NPP     2022112205421820221207
20221121IMGBGBP3M    000003175340190000000317534019000000031753401900NPP     2022112205421820230223
20221121IMGBGBP3W    000003084244220000000308424422000000030842442200NPP     2022112205421820221214
20221121IMGBGBP4M    000003371592460000000337159246000000033715924600NPP     2022112205421820230323
20221121IMGBGBP5M    000003502726900000000350272690000000035027269000NPP     2022112205421820230424
20221121IMGBGBP6M    000003658555900000000365855590000000036585559000NPP     2022112205421820230523
20221121IMGBGBP7M    000003777007450000000377700745000000037770074500NPP     2022112205421820230623
20221121IMGBGBP8M    000003848484490000000384848449000000038484844900NPP     2022112205421820230724
20221121IMGBGBP9M    000003923037250000000392303725000000039230372500NPP     2022112205421820230823
20221121IMGBGBPON    000007454092720000000745409272000000074540927200NPP     2022112205421820221122
20221121IMGBGBPSW    000003142639780000000314263978000000031426397800NPP     2022112205421820221130
20221121IBR COP1M    000010481344310000001048134431000000104813443100NPP     2022112205421820221223
20221121IBR COP1Y    000012430435790000001243043579000000124304357900NPP     2022112205421820231123
20221121IBR COP3M    000011138137540000001113813754000000111381375400NPP     2022112205421820230223
20221121IBR COP6M    000011894185290000001189418529000000118941852900NPP     2022112205421820230523
20221121IBR COP9M    000012143439450000001214343945000000121434394500NPP     2022112205421820230823
20221121IBR COPON    000010299000000000001029900000000000102990000000NPP     2022112205421820221122
20221121IPECEUR10M   000001874006670000000187400667000000018740066700NPP     2022112205421820230925
