TRN#_(INTERNAL);PER_FLU_RECIBO;PER_FLU_PAGO;FINALIDAD;DELIVERY/SETTLEMENT SWAPS;HEDGE LINK;SOSTENIBILIDAD;GAMMA;VEGA;DELTA
48118665;;;NE;C;;;2312.5104;390018.6177;13.2122
48118666;;;NE;C;;;4290.2276;723572.3789;-47.9521
48118667;;;NE;C;;;-2312.5104;-390018.6177;-13.2122
48118668;;;NE;C;;;-4049.0318;-769434.8830;47.2459
48118669;;;NE;C;;;2386.1850;453445.1772;15.0417
48118670;;;NE;C;;;4049.0318;769434.8830;-47.2459
48118671;;;NE;C;;;-2386.1850;-453445.1772;-15.0417
48118672;;;NE;C;;;-3835.6132;-812281.1954;46.6071
48118673;;;NE;C;;;2431.9676;515026.2656;16.7820
48118674;;;NE;C;;;3835.6132;812281.1954;-46.6071
48118675;;;NE;C;;;-2431.9676;-515026.2656;-16.7820
48118676;;;NE;C;;;-3650.0443;-852573.5835;46.0183
48118677;;;NE;C;;;2457.0639;573918.4485;18.4013
48118678;;;NE;C;;;3650.0443;852573.5835;-46.0183
48118679;;;NE;C;;;-2457.0639;-573918.4485;-18.4013
48118680;;;NE;C;;;-3487.5138;-890658.3556;45.4706
48118681;;;NE;C;;;2467.2519;630098.8897;19.9044
48118682;;;NE;C;;;3487.5138;890658.3556;-45.4706
48118683;;;NE;C;;;-2467.2519;-630098.8897;-19.9044
48118684;;;NE;C;;;-3342.5532;-926526.3218;44.9258
48118685;;;NE;C;;;2467.0768;683851.9527;21.3134
48118686;;;NE;C;;;3342.5532;926526.3218;-44.9258
48118687;;;NE;C;;;-2467.0768;-683851.9527;-21.3134
48118688;;;NE;C;;;-3228.5706;-960941.9779;44.4404
48118689;;;NE;C;;;2462.6032;732961.7799;22.5015
48118690;;;NE;C;;;3228.5706;960941.9779;-44.4404
48118691;;;NE;C;;;-2462.6032;-732961.7799;-22.5015
48118692;;;NE;C;;;-3126.6736;-993812.8923;43.9771
48118693;;;NE;C;;;2453.8669;779961.3380;23.6065
48118694;;;NE;C;;;3126.6736;993812.8923;-43.9771
48118695;;;NE;C;;;-2453.8669;-779961.3380;-23.6065
48118920;;;NE;C;;;-3032.8883;-1025287.0675;43.5335
48118921;;;NE;C;;;2441.4069;825333.0373;24.6550
48118922;;;NE;C;;;3032.8883;1025287.0675;-43.5335
48118923;;;NE;C;;;-2441.4069;-825333.0373;-24.6550
48118924;;;NE;C;;;-2946.1749;-1055489.2573;43.1073
48118925;;;NE;C;;;2426.0854;869163.2818;25.6516
48118926;;;NE;C;;;2946.1749;1055489.2573;-43.1073
48118927;;;NE;C;;;-2426.0854;-869163.2818;-25.6516
48118928;;;NE;C;;;-2865.6736;-1084525.7782;42.6968
48118929;;;NE;C;;;2408.5745;911534.7528;26.6008
48118930;;;NE;C;;;2865.6736;1084525.7782;-42.6968
48118931;;;NE;C;;;-2408.5745;-911534.7528;-26.6008
48118932;;;NE;C;;;-2824.9549;-1109380.2512;42.4682
48118933;;;NE;C;;;2407.2811;945356.7156;27.2837
48118934;;;NE;C;;;2824.9549;1109380.2512;-42.4682
48118935;;;NE;C;;;-2407.2811;-945356.7156;-27.2837
48118936;;;NE;C;;;-2720.5140;-1139455.8644;41.9166
48118937;;;NE;C;;;2368.9663;992214.1807;28.3719
48118938;;;NE;C;;;2720.5140;1139455.8644;-41.9166
48118939;;;NE;C;;;-2368.9663;-992214.1807;-28.3719
48118940;;;NE;C;;;-2654.7395;-1165498.3973;41.5446
48118941;;;NE;C;;;2347.6164;1030663.5330;29.2003
48118942;;;NE;C;;;2654.7395;1165498.3973;-41.5446
48118943;;;NE;C;;;-2347.6164;-1030663.5330;-29.2003
48118944;;;NE;C;;;-2592.8781;-1190677.0762;41.1833
48118945;;;NE;C;;;2325.6020;1067941.0764;29.9944
48118946;;;NE;C;;;2592.8781;1190677.0762;-41.1833
48118947;;;NE;C;;;-2325.6020;-1067941.0764;-29.9944
48118948;;;NE;C;;;-2534.5511;-1215046.2308;40.8319
48118949;;;NE;C;;;2303.1330;1104106.0350;30.7567
48118950;;;NE;C;;;2534.5511;1215046.2308;-40.8319
48118951;;;NE;C;;;-2303.1330;-1104106.0350;-30.7567
48118952;;;NE;C;;;-2479.4117;-1238654.4435;40.4895
48118953;;;NE;C;;;2280.3659;1139215.9630;31.4896
48118954;;;NE;C;;;2479.4117;1238654.4435;-40.4895
48118955;;;NE;C;;;-2280.3659;-1139215.9630;-31.4896
48118956;;;NE;C;;;-2427.1881;-1261545.0716;40.1556
48118957;;;NE;C;;;2257.4447;1173319.9882;32.1949
48118958;;;NE;C;;;2427.1881;1261545.0716;-40.1556
48118959;;;NE;C;;;-2257.4447;-1173319.9882;-32.1949
48118960;;;NE;C;;;-2376.3918;-1283094.0073;39.7352
48118961;;;NE;C;;;2237.1280;1207900.8198;32.9700
48118962;;;NE;C;;;2376.3918;1283094.0073;-39.7352
48118963;;;NE;C;;;-2237.1280;-1207900.8198;-32.9700
48118964;;;NE;C;;;-2335.2265;-1304600.7215;39.4142
48118965;;;NE;C;;;2218.3390;1239300.1919;33.5682
48118966;;;NE;C;;;2335.2265;1304600.7215;-39.4142
48118967;;;NE;C;;;-2218.3390;-1239300.1919;-33.5682
48118968;;;NE;C;;;-2296.6459;-1325480.5336;39.0985
48118969;;;NE;C;;;2200.2057;1269821.2714;34.1404
48118970;;;NE;C;;;2296.6459;1325480.5336;-39.0985
48118971;;;NE;C;;;-2200.2057;-1269821.2714;-34.1404
48118972;;;NE;C;;;-2259.5218;-1345773.8867;38.7891
48118973;;;NE;C;;;2182.0309;1299620.2117;34.6968
48118974;;;NE;C;;;2259.5218;1345773.8867;-38.7891
48118975;;;NE;C;;;-2182.0309;-1299620.2117;-34.6968
48118976;;;NE;C;;;-2223.7398;-1365508.4260;38.4859
48118977;;;NE;C;;;2163.8367;1328724.3455;35.2382
48118978;;;NE;C;;;2223.7398;1365508.4260;-38.4859
48118979;;;NE;C;;;-2163.8367;-1328724.3455;-35.2382
48118980;;;NE;C;;;-2189.2308;-1384709.0631;38.1884
48118981;;;NE;C;;;2145.6683;1357155.3155;35.7652
48118982;;;NE;C;;;2189.2308;1384709.0631;-38.1884
48118983;;;NE;C;;;-2145.6683;-1357155.3155;-35.7652
48118984;;;NE;C;;;-2155.9196;-1403398.9279;37.8963
48118985;;;NE;C;;;2127.5554;1384935.2211;36.2784
48118986;;;NE;C;;;2155.9196;1403398.9279;-37.8963
48118987;;;NE;C;;;-2127.5554;-1384935.2211;-36.2784
48118988;;;NE;C;;;-2123.7330;-1421599.4921;37.6095
48118989;;;NE;C;;;2109.5200;1412085.4998;36.7787
48118990;;;NE;C;;;2123.7330;1421599.4921;-37.6095
