TRN#_(INTERNAL);PER_FLU_RECIBO;PER_FLU_PAGO;FINALIDAD;DELIVERY/SETTLEMENT SWAPS;HEDGE LINK;SOSTENIBILIDAD;GAMMA;VEGA;DELTA
47935476;;;NE;C;;;50.8274;107126.5679;80.7956
47934480;;;NE;C;;;-464.2029;-238106.7113;-76.8099
47934380;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47934381;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47934751;6m;6m;NE;C;;;0.0000;0.0000;0.0000
47934752;6m;6m;DC;C;;;0.0000;0.0000;0.0000
47934755;1y;1y;NE;D;;;0.0000;0.0000;0.0000
47934756;1y;1y;NE;D;;;0.0000;0.0000;0.0000
47934757;1y;1y;NE;D;;;0.0000;0.0000;0.0000
47934758;1m;1m;NE;D;;;0.0000;0.0000;0.0000
47934759;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47934760;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47934761;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47934762;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47934763;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47934764;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47934765;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47934766;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47934767;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47934768;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47934769;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47934770;3m;3m;DC;D;;;0.0000;0.0000;0.0000
47934771;3m;3m;DC;D;;;0.0000;0.0000;0.0000
47934772;3m;3m;DC;D;;;0.0000;0.0000;0.0000
47934773;3m;3m;DC;D;;;0.0000;0.0000;0.0000
47934774;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47934775;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47934776;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47934777;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47934778;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47934779;1y;1y;NE;D;;;0.0000;0.0000;0.0000
47934780;1y;1y;NE;D;;;0.0000;0.0000;0.0000
47934781;1y;1y;NE;D;;;0.0000;0.0000;0.0000
47934782;1y;1y;NE;D;;;0.0000;0.0000;0.0000
47934783;3m;1y;NE;D;;;0.0000;0.0000;0.0000
47934784;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47934785;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47934786;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47934787;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47934788;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47934789;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47934791;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47934792;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47934793;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47934794;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47934795;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47934796;3m;3m;NE;C;;;0.0000;0.0000;0.0000
